"X","Year","Month","Day","Location","State","MinTemp","MaxTemp","Rainfall","Rainfall.1","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RISK_MM","RainTomorrow"
53699,2008,12,25,"Ballarat","VIC",8.8,25.5,0,0,NA,NA,"WSW",37,"SE","SSW",13,9,61,32,1014.2,1012.3,2,NA,15.9,22.7,"No",0,"No"
53700,2008,12,26,"Ballarat","VIC",10.6,28.9,0,0,NA,NA,"ESE",46,"N","WNW",22,11,42,32,1010.3,1008.1,5,8,21.4,26.9,"No",0,"No"
53701,2008,12,27,"Ballarat","VIC",11.3,28,0,0,NA,NA,"S",43,"N","W",13,19,55,43,1006.1,1003.2,4,1,22.6,26.5,"No",0,"No"
53702,2008,12,28,"Ballarat","VIC",7.6,25.6,0,0,NA,NA,"WSW",44,"NNW","WSW",17,26,62,44,1003.9,1002.7,3,7,17.9,22.8,"No",0,"No"
53703,2008,12,29,"Ballarat","VIC",9.3,19.8,0,0,NA,NA,"W",46,"WSW","SW",17,24,70,40,1008.2,1008,6,4,11.8,17.4,"No",2.4,"Yes"
53704,2008,12,30,"Ballarat","VIC",10.2,20.1,2.4,2.4,NA,NA,"W",61,"WSW","W",22,37,99,45,1003.6,1003.2,8,8,11.9,18,"Yes",0.2,"No"
53705,2008,12,31,"Ballarat","VIC",9,20.4,0.2,0.2,NA,NA,"NW",39,"WSW","NW",15,26,81,44,1006.1,1004.7,8,6,10.6,17.2,"No",0.2,"No"
53706,2009,1,1,"Ballarat","VIC",8.3,17,0.2,0.2,NA,NA,"SW",54,"W","WSW",26,30,87,48,1004.7,1006.5,8,8,11.6,16,"No",0.4,"No"
53707,2009,1,2,"Ballarat","VIC",3,17,0.4,0.4,NA,NA,"SSW",52,"SW","SSW",26,28,70,35,1017.2,1017.6,6,5,9.1,15.9,"No",0,"No"
53708,2009,1,3,"Ballarat","VIC",0.7,22.5,0,0,NA,NA,"SE",31,"SSE","SSW",20,11,61,26,1018.7,1015.9,2,NA,11.7,20,"No",0,"No"
53709,2009,1,4,"Ballarat","VIC",5.9,28.8,0,0,NA,NA,"S",39,NA,"SW",NA,11,24,14,1014.8,1012.8,3,NA,20.4,27.1,"No",0,"No"
53710,2009,1,5,"Ballarat","VIC",8.3,29.6,0,0,NA,NA,"W",41,"NW","WSW",6,20,42,12,1012.1,1010.6,3,NA,19.2,28.3,"No",0,"No"
53711,2009,1,6,"Ballarat","VIC",10.8,30.3,0,0,NA,NA,"SSW",41,"WNW","WSW",9,19,48,30,1010.6,1008,0,NA,20.1,29.9,"No",0,"No"
53712,2009,1,7,"Ballarat","VIC",13.6,21.1,0,0,NA,NA,"SSW",44,"S","SSW",15,24,99,64,1009.2,1009.9,8,3,14.4,18,"No",0,"No"
53713,2009,1,8,"Ballarat","VIC",7.3,18.2,0,0,NA,NA,"SSW",50,"SSW","SSW",26,28,71,36,1016.7,1017.2,3,NA,11.4,16.9,"No",0,"No"
53714,2009,1,9,"Ballarat","VIC",4.3,20.4,0,0,NA,NA,"SE",44,"SE","SSE",24,20,57,32,1019.5,1016.3,3,NA,12.4,19.6,"No",0,"No"
53715,2009,1,10,"Ballarat","VIC",9,26.7,0,0,NA,NA,"SE",44,"SE","W",13,6,61,16,1011.9,1008.6,4,NA,15.4,24.9,"No",0,"No"
53716,2009,1,11,"Ballarat","VIC",9.3,27.1,0,0,NA,NA,"SSW",48,"SE","WSW",15,15,70,19,1010,1008.9,6,NA,15.2,25.1,"No",0,"No"
53717,2009,1,12,"Ballarat","VIC",8.7,26.6,0,0,NA,NA,"ESE",39,"S","SSE",20,17,86,30,1017.6,1015.9,8,NA,12.9,24.2,"No",0,"No"
53718,2009,1,13,"Ballarat","VIC",8.6,34.9,0,0,NA,NA,"N",50,"N","NW",20,22,20,13,1013.8,1010.5,0,NA,25,33.1,"No",0,"No"
53719,2009,1,14,"Ballarat","VIC",20.3,33.9,0,0,NA,NA,"S",41,"N","WSW",19,13,16,25,1009,1007.8,1,NA,27.5,32.7,"No",0,"No"
53720,2009,1,15,"Ballarat","VIC",11.1,23.5,0,0,NA,NA,"SSW",48,"SW","SW",28,22,63,33,1014.8,1014.2,5,NA,13.7,21.8,"No",0,"No"
53721,2009,1,16,"Ballarat","VIC",9.8,18.6,0,0,NA,NA,"WSW",54,"WSW","SW",26,30,66,43,1017.2,1018.3,6,6,12.6,16.3,"No",0,"No"
53722,2009,1,17,"Ballarat","VIC",6.1,21.7,0,0,NA,NA,"SSE",44,"SSE","SSE",28,22,54,32,1021.3,1020.6,1,NA,12.5,20.2,"No",0,"No"
53723,2009,1,18,"Ballarat","VIC",6.1,29.1,0,0,NA,NA,"SE",35,"SE","SW",20,19,38,13,1019.4,1017.2,0,NA,16.6,28,"No",0,"No"
53724,2009,1,19,"Ballarat","VIC",8.9,34.2,0,0,NA,NA,"S",43,"N","NNW",20,24,20,8,1013.8,1009.8,0,NA,24.5,32.5,"No",0,"No"
53725,2009,1,20,"Ballarat","VIC",13.7,36.5,0,0,NA,NA,"NW",67,"N","SW",22,30,21,18,1006.7,1006.7,0,NA,26.5,31,"No",0,"No"
53726,2009,1,21,"Ballarat","VIC",10.1,32.1,0,0,NA,NA,"SSW",43,"S","NW",7,15,66,17,1009.5,1006.2,3,NA,17,29.9,"No",0,"No"
53727,2009,1,22,"Ballarat","VIC",13.6,30.6,0,0,NA,NA,"NNW",83,"N","NW",37,50,28,28,998.5,996.6,7,2,21.2,27,"No",0,"No"
53728,2009,1,23,"Ballarat","VIC",4.9,27.1,0,0,NA,NA,"NNW",54,"NNW","N",11,30,58,18,1007,1003,3,NA,13.4,24.8,"No",0,"No"
53729,2009,1,24,"Ballarat","VIC",11.1,21.6,0,0,NA,NA,"WNW",54,"WSW","WSW",28,28,77,33,1007.3,1010.8,NA,NA,12.9,20.2,"No",0,"No"
53730,2009,1,25,"Ballarat","VIC",5.5,29.6,0,0,NA,NA,"SE",37,"SSE","SW",9,13,49,7,1016.9,1016.2,0,NA,16.7,28.1,"No",0.2,"No"
53731,2009,1,26,"Ballarat","VIC",10.7,27.7,0.2,0.2,NA,NA,"SE",39,"SSE","SE",30,20,70,30,NA,NA,0,NA,15,26.2,"No",0,"No"
53732,2009,1,27,"Ballarat","VIC",10.3,36.3,0,0,NA,NA,"ESE",39,"NNE","NNW",11,9,51,11,1016.8,1014.1,0,NA,20.3,34.5,"No",0,"No"
53733,2009,1,28,"Ballarat","VIC",16.6,40,0,0,NA,NA,"N",48,"NNE","NNW",22,17,17,8,1012.8,1010.7,0,NA,30.7,39.1,"No",0,"No"
53734,2009,1,29,"Ballarat","VIC",25.1,41.4,0,0,NA,NA,"NW",61,"NNE","N",35,33,20,12,1011.9,1010.7,1,1,32.6,39.9,"No",0,"No"
53735,2009,1,30,"Ballarat","VIC",19.9,41.1,0,0,NA,NA,"NNE",54,"N","NNW",20,17,17,9,1013.2,1010.6,0,NA,34.1,39,"No",0,"No"
53736,2009,1,31,"Ballarat","VIC",22.9,39.2,0,0,NA,NA,"SSE",67,"SE","SSE",22,33,34,31,1013.3,1012.7,2,NA,29.3,34.2,"No",0,"No"
53737,2009,2,1,"Ballarat","VIC",16.4,34.7,0,0,NA,NA,"SE",54,"SE","SE",31,30,72,25,1014.8,1012.4,4,NA,20.4,32.7,"No",0,"No"
53738,2009,2,2,"Ballarat","VIC",16.3,32,0,0,NA,NA,"SE",46,"SSE","SW",11,19,79,36,1012,1009.9,7,NA,20.1,31,"No",0,"No"
53739,2009,2,3,"Ballarat","VIC",17,27.3,0,0,NA,NA,"SE",59,"SE","SE",35,33,80,51,1011.9,1010.3,6,NA,18.6,24.9,"No",0,"No"
53740,2009,2,4,"Ballarat","VIC",14.6,34.7,0,0,NA,NA,"SE",39,"SE","NW",13,13,70,11,1008.4,1005.6,2,NA,19,33,"No",0,"No"
53741,2009,2,5,"Ballarat","VIC",15,33,0,0,NA,NA,"SW",39,"SW","SW",2,20,27,30,1006.3,1006.8,0,NA,26.8,30.9,"No",0,"No"
53742,2009,2,6,"Ballarat","VIC",13.2,36.7,0,0,NA,NA,"WNW",41,"SE","W",11,24,57,16,1008.3,1006.7,0,NA,20.2,35,"No",0,"No"
53743,2009,2,7,"Ballarat","VIC",20.2,44.1,0,0,NA,NA,"NNW",93,"N","NNW",39,61,25,6,1004.3,1000.1,0,NA,30.3,43.1,"No",0,"No"
53744,2009,2,8,"Ballarat","VIC",13.8,21.3,0,0,NA,NA,"S",44,"SW","SSW",20,26,73,37,1011.4,1012.5,7,NA,16.5,19.9,"No",1.2,"Yes"
53745,2009,2,9,"Ballarat","VIC",7.6,18.9,1.2,1.2,NA,NA,"S",54,"S","SSE",31,26,58,37,1015.6,1014.7,2,1,12.3,18.2,"Yes",0,"No"
53746,2009,2,10,"Ballarat","VIC",5.6,17.2,0,0,NA,NA,"SSE",50,"S","SSW",30,33,66,49,1016.2,1016.2,3,6,11.2,14.3,"No",0,"No"
53747,2009,2,11,"Ballarat","VIC",7.9,18,0,0,NA,NA,"S",57,"SSW","SSW",28,35,73,42,1018.2,1017.8,7,5,10.1,15.5,"No",0,"No"
53748,2009,2,12,"Ballarat","VIC",7,21,0,0,NA,NA,NA,NA,"SSE","SSE",31,35,72,36,1020,1019.7,2,4,11.6,19.4,"No",0,"No"
53749,2009,2,13,"Ballarat","VIC",8.4,24.5,0,0,NA,NA,"SE",56,"SE","ESE",20,9,54,25,1024.1,1022.1,0,NA,13,23.2,"No",0,"No"
53750,2009,2,14,"Ballarat","VIC",10.1,27.4,0,0,NA,NA,"SE",44,"NNE","WSW",22,11,46,24,1022,1018.4,0,NA,17.9,25.9,"No",0,"No"
53751,2009,2,15,"Ballarat","VIC",12.8,23.5,0,0,NA,NA,"SSE",56,"SE","SSE",24,30,75,47,1017.3,1016.4,7,1,15.5,21.7,"No",0,"No"
53752,2009,2,16,"Ballarat","VIC",13.5,28.7,0,0,NA,NA,"SE",52,"ESE","NNW",17,7,70,26,1017.9,1015.3,0,NA,17.4,27.1,"No",0,"No"
53753,2009,2,17,"Ballarat","VIC",12.7,29.1,0,0,NA,NA,"NNE",46,"NNE","NNE",30,11,43,26,1016,1013.9,0,NA,18.7,26.1,"No",0,"No"
53754,2009,2,18,"Ballarat","VIC",12,30.4,0,0,NA,NA,"WSW",57,"NNE","S",13,15,42,22,1012.1,1009.1,2,NA,20.5,27.9,"No",0,"No"
53755,2009,2,19,"Ballarat","VIC",10.3,31.3,0,0,NA,NA,"S",48,"ESE","W",4,20,24,17,1008.3,1006.3,0,NA,22.1,29.5,"No",0,"No"
53756,2009,2,20,"Ballarat","VIC",13.2,20.9,0,0,NA,NA,"SSW",41,"SW","WSW",17,20,76,48,1012.5,1012.9,8,5,13.7,19.5,"No",0,"No"
53757,2009,2,21,"Ballarat","VIC",12.4,23.3,0,0,NA,NA,"SSE",48,"S","SSE",26,31,82,38,NA,NA,7,NA,14.2,21.9,"No",0.2,"No"
53758,2009,2,22,"Ballarat","VIC",12.2,28.5,0.2,0.2,NA,NA,"SSE",46,"SE","NNW",28,11,71,28,1015.9,1012.9,0,NA,15.2,27,"No",0,"No"
53759,2009,2,23,"Ballarat","VIC",11.3,31.8,0,0,NA,NA,"NW",57,"N","WNW",19,28,53,14,1010.9,1008.3,6,2,19.5,30.5,"No",0,"No"
53760,2009,2,24,"Ballarat","VIC",6.4,19.8,0,0,NA,NA,"S",44,"S","S",24,26,67,31,1018,1017.4,1,NA,11,17.9,"No",0,"No"
53761,2009,2,25,"Ballarat","VIC",7.6,22.3,0,0,NA,NA,"SSE",44,"S","SSE",24,24,78,47,1019.4,1017.6,8,NA,12.3,20.3,"No",0,"No"
53762,2009,2,26,"Ballarat","VIC",12.1,30.2,0,0,NA,NA,"SE",56,"E","NW",24,11,71,20,1017.3,1015.7,0,NA,16,28.9,"No",0,"No"
53763,2009,2,27,"Ballarat","VIC",13.6,32.4,0,0,NA,NA,"N",52,"NNE","N",31,28,36,17,1013.6,1010.5,6,NA,21.5,30.2,"No",0.8,"No"
53764,2009,2,28,"Ballarat","VIC",9.7,22,0.8,0.8,NA,NA,"S",46,"S","SSW",33,22,70,36,1011.9,1011.2,6,NA,13.5,21.3,"No",0,"No"
53765,2009,3,1,"Ballarat","VIC",10.5,18.9,0,0,NA,NA,"SSW",43,"S","S",28,24,83,59,1013.7,1013.7,7,8,11.8,17,"No",0,"No"
53766,2009,3,2,"Ballarat","VIC",10.2,26.5,0,0,NA,NA,"ESE",46,"ESE","N",31,19,66,22,1013.9,1011.1,2,NA,13.2,24.7,"No",0.8,"No"
53767,2009,3,3,"Ballarat","VIC",13.1,31.7,0.8,0.8,NA,NA,"N",89,"NNE","N",41,61,55,33,1006.6,1001,8,NA,20,27.2,"No",2,"Yes"
53768,2009,3,4,"Ballarat","VIC",6.5,16.2,2,2,NA,NA,"WNW",63,"NNW","W",26,37,74,63,1011.4,1012.2,4,2,10,13.2,"Yes",2.8,"Yes"
53769,2009,3,5,"Ballarat","VIC",8.9,15.3,2.8,2.8,NA,NA,"WSW",44,"SW","SW",17,24,99,74,1015.8,1015.9,8,7,10.3,14.6,"Yes",2,"Yes"
53770,2009,3,6,"Ballarat","VIC",8.9,16.4,2,2,NA,NA,NA,NA,"SW","WSW",15,17,85,57,1016,1014.7,7,7,10.3,15.2,"Yes",0,"No"
53771,2009,3,7,"Ballarat","VIC",11,18.6,0,0,NA,NA,"SW",30,"SW","SSW",17,22,79,56,1016,1015.7,7,8,12.2,16.8,"No",0,"No"
53772,2009,3,8,"Ballarat","VIC",7.3,18.8,0,0,NA,NA,"SE",54,"SSE","SSE",31,31,71,56,1019.4,1018.8,6,NA,11.1,16.5,"No",0,"No"
53773,2009,3,9,"Ballarat","VIC",9.2,26.2,0,0,NA,NA,"SE",52,"SE","S",24,20,75,30,1019.7,1017.3,NA,NA,12.7,25.1,"No",0,"No"
53774,2009,3,10,"Ballarat","VIC",12.5,26.8,0,0,NA,NA,"ESE",59,"SE","SSE",26,15,88,46,1019.3,1017.8,3,7,14.5,25.1,"No",0.8,"No"
53775,2009,3,11,"Ballarat","VIC",13.7,28.6,0.8,0.8,NA,NA,"NNE",54,"NNE","NE",11,26,88,31,1020.3,1017.8,7,NA,17.1,27,"No",3,"Yes"
53776,2009,3,12,"Ballarat","VIC",15.3,23,3,3,NA,NA,"NNE",48,"NE","NNE",17,31,100,66,1017.8,1016.1,8,2,16.2,22.2,"Yes",0.2,"No"
53777,2009,3,13,"Ballarat","VIC",12.9,28,0.2,0.2,NA,NA,"WNW",39,"NNE","NNE",11,13,100,42,1016.4,1014.1,0,1,17.7,24.7,"No",2.4,"Yes"
53778,2009,3,14,"Ballarat","VIC",13.9,18.3,2.4,2.4,NA,NA,"WSW",72,"W","WSW",33,22,97,79,1010.4,1007.2,8,8,13.9,14.8,"Yes",16.4,"Yes"
53779,2009,3,15,"Ballarat","VIC",7.6,15.6,16.4,16.4,NA,NA,"W",56,"WNW","WNW",26,28,87,57,1011.4,1010.4,3,1,9.4,14.3,"Yes",1,"No"
53780,2009,3,16,"Ballarat","VIC",9.3,16.4,1,1,NA,NA,"W",46,"W","WSW",24,24,99,73,1012,1012.7,8,8,10.2,14.6,"No",2.8,"Yes"
53781,2009,3,17,"Ballarat","VIC",9.6,17.3,2.8,2.8,NA,NA,"SSW",31,"SW","SW",22,17,98,57,1017.4,1016.7,6,1,10.2,15.9,"Yes",0,"No"
53782,2009,3,18,"Ballarat","VIC",6.5,23.4,0,0,NA,NA,"N",43,"ENE","NNW",7,24,80,22,1016,1013.6,1,NA,9.5,22.1,"No",0,"No"
53783,2009,3,19,"Ballarat","VIC",9.3,30.3,0,0,NA,NA,"WNW",56,"NNE","NW",17,17,37,19,1013.6,1011.5,1,1,18.3,29.1,"No",0,"No"
53784,2009,3,20,"Ballarat","VIC",11.6,29.9,0,0,NA,NA,"NNW",52,NA,"N",NA,24,73,26,1014.7,1012.7,0,NA,16.1,28.7,"No",0,"No"
53785,2009,3,21,"Ballarat","VIC",12.5,33.1,0,0,NA,NA,"N",59,"NNE","NNE",22,43,30,12,1013.3,1009.8,0,NA,21.4,31.5,"No",0,"No"
53786,2009,3,22,"Ballarat","VIC",13.8,22.2,0,0,NA,NA,"WNW",43,"WSW","SSW",15,20,91,59,1012.1,1012.1,8,8,14.6,20.5,"No",0,"No"
53787,2009,3,23,"Ballarat","VIC",10.2,20.1,0,0,NA,NA,"S",37,"SSE","S",19,20,92,47,1015.8,1014.6,7,NA,11.1,18.5,"No",0,"No"
53788,2009,3,24,"Ballarat","VIC",8.7,20.6,0,0,NA,NA,"SE",39,"E","NW",13,11,78,25,1015.9,1015.3,3,1,12,20.3,"No",5.8,"Yes"
53789,2009,3,25,"Ballarat","VIC",11.9,23.3,5.8,5.8,NA,NA,"WSW",28,"SSE","W",6,9,100,60,1015.4,1015.1,6,8,15.7,20.2,"Yes",0.2,"No"
53790,2009,3,26,"Ballarat","VIC",10.4,21.2,0.2,0.2,NA,NA,"SSW",44,NA,"WSW",0,22,92,45,1019.7,1020.5,5,1,14,20.3,"No",0,"No"
53791,2009,3,27,"Ballarat","VIC",5.3,19.7,0,0,NA,NA,"S",37,"S","S",13,17,92,42,1026.1,1024.5,2,NA,8.4,18,"No",0,"No"
53792,2009,3,28,"Ballarat","VIC",2.2,26.4,0,0,NA,NA,"SE",28,"E","N",4,6,99,8,1022.8,1020.8,0,NA,8.2,25.1,"No",0,"No"
53793,2009,3,29,"Ballarat","VIC",5.6,27.1,0,0,NA,NA,"SE",44,"ESE","S",6,20,58,17,1022.2,1020.8,0,NA,13.7,26.6,"No",0,"No"
53794,2009,3,30,"Ballarat","VIC",11.1,23.6,0,0,NA,NA,"SE",50,"SE","SE",33,19,81,45,1024.2,1022.1,2,NA,12.9,22.9,"No",0,"No"
53795,2009,3,31,"Ballarat","VIC",8.6,27.7,0,0,NA,NA,"N",46,"NNE","N",22,15,64,30,1023.3,1020.6,0,NA,17.1,26.4,"No",0,"No"
53796,2009,4,1,"Ballarat","VIC",10.9,28.6,0,0,NA,NA,"SE",35,"NE","S",19,6,53,29,1023.2,1020.6,0,NA,18.3,26.9,"No",0,"No"
53797,2009,4,2,"Ballarat","VIC",11.8,28.6,0,0,NA,NA,"NNE",50,"NNE","N",20,30,60,36,1022.5,1019.1,5,NA,19,26.6,"No",0,"No"
53798,2009,4,3,"Ballarat","VIC",15.7,17.6,0,0,NA,NA,"WSW",43,"WSW","SW",20,15,77,91,1016.5,1016.3,7,8,15.7,13.5,"No",4.2,"Yes"
53799,2009,4,4,"Ballarat","VIC",5,14.9,4.2,4.2,NA,NA,"S",33,"SW","SW",9,17,95,53,1022.8,1022.6,5,8,7.9,13.6,"Yes",0,"No"
53800,2009,4,5,"Ballarat","VIC",7.3,16.4,0,0,NA,NA,"W",46,"WNW","SW",20,20,81,88,1020,1018.8,8,8,11.9,12.5,"No",0.2,"No"
53801,2009,4,6,"Ballarat","VIC",2.4,13.3,0.2,0.2,NA,NA,"SW",39,"SSW","SSW",19,19,81,53,1025.9,1024.9,4,8,8.7,12.5,"No",0,"No"
53802,2009,4,7,"Ballarat","VIC",7.5,15.7,0,0,NA,NA,"S",41,"S","S",22,20,93,63,1029.4,1027.6,7,8,9.5,15,"No",2.4,"Yes"
53803,2009,4,8,"Ballarat","VIC",9.2,18.8,2.4,2.4,NA,NA,"SSE",33,"SE","S",20,13,90,51,1027.7,1024.9,7,NA,10.5,18.4,"Yes",0.2,"No"
53804,2009,4,9,"Ballarat","VIC",7.9,22.9,0.2,0.2,NA,NA,"N",39,NA,"NNW",0,22,77,28,1023,1019,NA,NA,13.5,22.1,"No",0,"No"
53805,2009,4,10,"Ballarat","VIC",5.5,20.2,0,0,NA,NA,"SE",37,"S","S",7,17,79,47,1019.7,1018.7,3,NA,12,19.1,"No",0,"No"
53806,2009,4,11,"Ballarat","VIC",8.1,22.6,0,0,NA,NA,"SSE",28,"ESE","NNW",15,15,89,25,1023.4,1020.6,5,NA,13.1,21.5,"No",0,"No"
53807,2009,4,12,"Ballarat","VIC",3.7,21.8,0,0,NA,NA,"WNW",41,"NNW","WSW",6,26,80,28,1023,1021.1,0,NA,14,20.9,"No",0,"No"
53808,2009,4,13,"Ballarat","VIC",4.2,23.9,0,0,NA,NA,"NNW",30,"NNE","N",11,11,52,23,1022.6,1018.7,2,NA,16.4,23.2,"No",0,"No"
53809,2009,4,14,"Ballarat","VIC",8.4,25.2,0,0,NA,NA,"WNW",56,"NNE","NW",26,31,48,21,1014.5,1010.4,1,NA,17.7,24.2,"No",1.6,"Yes"
53810,2009,4,15,"Ballarat","VIC",8.2,13.5,1.6,1.6,NA,NA,"WNW",80,"W","WNW",41,20,74,66,1008,1011.4,3,7,9.2,10.5,"Yes",0.4,"No"
53811,2009,4,16,"Ballarat","VIC",0.2,17.5,0.4,0.4,NA,NA,"NW",57,"N","NW",28,35,75,48,1012.9,1010,7,7,7.2,15.7,"No",0.2,"No"
53812,2009,4,17,"Ballarat","VIC",6,18.5,0.2,0.2,NA,NA,"WNW",28,"NNW","WSW",9,13,87,54,1017.8,1017.6,7,7,11.6,17,"No",0,"No"
53813,2009,4,18,"Ballarat","VIC",5.4,16.6,0,0,NA,NA,"SSE",35,"SSW","SSW",9,19,93,63,1023.8,1022.9,7,7,11.6,16,"No",0,"No"
53814,2009,4,19,"Ballarat","VIC",10.4,16.8,0,0,NA,NA,"SE",48,"SE","SE",28,20,81,60,1025,1022.5,7,NA,11.4,15.9,"No",0,"No"
53815,2009,4,20,"Ballarat","VIC",7.1,21.2,0,0,NA,NA,"ESE",35,"ESE","N",11,15,80,36,1023.2,1020.3,0,NA,12.8,20.7,"No",0,"No"
53816,2009,4,21,"Ballarat","VIC",4.3,20.8,0,0,NA,NA,"NNE",31,"NNE","NNW",22,7,55,32,1024.4,1021.7,2,NA,14.8,20.1,"No",0,"No"
53817,2009,4,22,"Ballarat","VIC",3.1,21.1,0,0,NA,NA,"N",41,"NNE","N",13,20,57,33,1025,1021.4,0,NA,14.8,20.3,"No",0,"No"
53818,2009,4,23,"Ballarat","VIC",9.4,20.1,0,0,NA,NA,"N",61,"NNE","N",35,41,62,39,1017.2,1012.7,3,NA,14.3,18.9,"No",2,"Yes"
53819,2009,4,24,"Ballarat","VIC",11.9,15.1,2,2,NA,NA,"NNE",61,"NNE","N",37,20,99,98,1002.2,998.1,8,8,12.4,14.3,"Yes",3.6,"Yes"
53820,2009,4,25,"Ballarat","VIC",7.8,15.5,3.6,3.6,NA,NA,"NNW",74,"N","N",24,44,100,73,1000.5,993,8,8,10.1,13.7,"Yes",10.2,"Yes"
